setup,t_w,subject,acc_fb,itr_fb,acc_ph,itr_ph,acc_diff,itr_diff
All9,0.25,26,0.05,0.9707211136362424,0.05416666666666667,1.279471656197856,0.004166666666666666,0.3087505425616137
All9,0.25,27,0.04583333333333333,0.6975581423253215,0.0625,1.9937156013701594,0.01666666666666667,1.2961574590448377
All9,0.25,28,0.0625,1.9937156013701594,0.10833333333333334,7.701767626942494,0.04583333333333334,5.708052025572334
All9,0.25,29,0.0625,1.9937156013701594,0.029166666666666667,0.03290421091831679,-0.03333333333333333,-1.9608113904518425
All9,0.25,30,0.03333333333333333,0.12563930350495411,0.041666666666666664,0.46305678502398384,0.008333333333333331,0.3374174815190297
All9,0.25,31,0.09583333333333334,5.8919271807803035,0.09583333333333334,5.8919271807803035,0.0,0.0
All9,0.25,32,0.07083333333333333,2.823553652844113,0.0625,1.9937156013701594,-0.008333333333333331,-0.8298380514739536
All9,0.25,33,0.03333333333333333,0.12563930350495411,0.0375,0.2709103510767563,0.004166666666666666,0.1452710475718022
All9,0.25,34,0.058333333333333334,1.6212114546891792,0.05416666666666667,1.279471656197856,-0.004166666666666666,-0.3417397984913231
All9,0.25,35,0.05,0.9707211136362424,0.05416666666666667,1.279471656197856,0.004166666666666666,0.3087505425616137
All9,0.5,1,0.2375,26.365832234320433,0.2791666666666667,34.61690243543374,0.041666666666666685,8.251070201113304
All9,0.5,2,0.2625,31.23412820909869,0.25416666666666665,29.58333429215309,-0.00833333333333336,-1.6507939169455987
All9,0.5,3,0.4875,84.92686036290587,0.5583333333333333,105.12541323082561,0.07083333333333336,20.198552867919744
All9,0.5,4,0.44166666666666665,72.67118907991707,0.49583333333333335,87.22392475624159,0.054166666666666696,14.552735676324517
All9,0.5,5,0.2916666666666667,37.22300283988978,0.2708333333333333,32.91216314551233,-0.02083333333333337,-4.310839694377449
All9,0.5,6,0.225,24.02887085558452,0.2125,21.759976114097974,-0.012500000000000011,-2.2688947414865446
All9,0.5,7,0.17083333333333334,14.728484638347082,0.175,15.392391014181607,0.004166666666666652,0.6639063758345252
All9,0.5,8,0.125,8.086142641226283,0.10833333333333334,6.012783498227034,-0.016666666666666663,-2.0733591429992497
All9,0.5,9,0.19583333333333333,18.84567013335462,0.21666666666666667,22.50854213586678,0.020833333333333343,3.6628720025121595
All9,0.5,10,0.17916666666666667,16.065428858806136,0.22083333333333333,23.26487565581577,0.04166666666666666,7.199446797009635
All9,0.5,11,0.0625,1.5564972677363522,0.075,2.558920963857166,0.012499999999999997,1.002423696120814
All9,0.5,12,0.15833333333333333,12.793358913041084,0.20416666666666666,20.286593101032054,0.04583333333333334,7.49323418799097
All9,0.5,13,0.12916666666666668,8.635543927984752,0.10833333333333334,6.012783498227034,-0.020833333333333343,-2.6227604297577187
All9,0.5,14,0.275,33.76122673250614,0.3625,53.039229037678446,0.08749999999999997,19.278002305172308
All9,0.5,15,0.14166666666666666,10.352848233235509,0.15416666666666667,12.167832262006169,0.012500000000000011,1.8149840287706596
All9,0.5,16,0.07916666666666666,2.9324995261623337,0.0875,3.73310215506603,0.008333333333333331,0.8006026289036963
All9,0.5,17,0.1125,6.511719051706309,0.1125,6.511719051706309,0.0,0.0
All9,0.5,18,0.22916666666666666,24.800426266837853,0.31666666666666665,42.60615256855089,0.0875,17.805726301713037
