setup,t_w,subject,acc_fb,itr_fb,acc_ph,itr_ph,acc_diff,itr_diff
Oz,0.5,8,0.07083333333333333,2.204353290378298,0.08333333333333333,3.324168980350986,0.012499999999999997,1.1198156899726879
Oz,0.5,9,0.07083333333333333,2.204353290378298,0.1375,9.769198829742646,0.06666666666666668,7.564845539364347
Oz,0.5,10,0.1125,6.511719051706309,0.20416666666666666,20.286593101032054,0.09166666666666666,13.774874049325746
Oz,0.5,11,0.029166666666666667,0.025688375190615734,0.041666666666666664,0.3615092444485487,0.012499999999999997,0.335820869257933
Oz,0.5,12,0.041666666666666664,0.3615092444485487,0.0375,0.2115001863669413,-0.004166666666666666,-0.15000905808160742
Oz,0.5,13,0.05416666666666667,0.9988857666807822,0.0375,0.2115001863669413,-0.01666666666666667,-0.787385580313841
Oz,0.5,14,0.07083333333333333,2.204353290378298,0.12083333333333333,7.548795904145612,0.05,5.344442613767313
Oz,0.5,15,0.1,5.056342332739847,0.18333333333333332,16.74743105187363,0.08333333333333331,11.691088719133782
Oz,0.5,16,0.09166666666666666,4.158551431215544,0.10833333333333334,6.012783498227034,0.016666666666666677,1.8542320670114893
Oz,0.5,17,0.09166666666666666,4.158551431215544,0.1125,6.511719051706309,0.020833333333333343,2.3531676204907646
Oz,0.5,18,0.12083333333333333,7.548795904145612,0.25833333333333336,30.40529097049286,0.1375,22.85649506634725
Oz,0.5,19,0.041666666666666664,0.3615092444485487,0.05,0.7578436764353119,0.008333333333333338,0.3963344319867632
Oz,0.5,20,0.075,2.558920963857166,0.15,11.552416007265835,0.075,8.993495043408668
