plot_id,panel,series,x_index,x_value,y,yerr,unit,p_value,stars
9ch_subjects,itr,fbcca,10,11,44.52998621021475,14.74260122728445,bits_per_min,0.6973469254044449,
9ch_subjects,itr,fbcca,11,12,120.95291124744006,0.0,bits_per_min,,
9ch_subjects,itr,fbcca,12,13,110.12046721893223,9.862433093521611,bits_per_min,0.09531986640573256,
9ch_subjects,itr,fbcca,13,14,113.55595219007098,6.137301334243969,bits_per_min,0.17696191439534711,
9ch_subjects,itr,fbcca,14,15,96.54282713890501,19.417101971839294,bits_per_min,0.436289680542616,
9ch_subjects,itr,fbcca,15,16,71.64067736489987,12.28480341573968,bits_per_min,0.13749824902642027,
9ch_subjects,itr,fbcca,16,17,96.2312340743235,9.115206706863829,bits_per_min,0.5353976709815562,
9ch_subjects,itr,fbcca,17,18,74.53565395302002,15.44946821282257,bits_per_min,0.018577364889601204,*
9ch_subjects,itr,fbcca,18,19,47.67046077228619,14.045028306241003,bits_per_min,0.8004003246439458,
9ch_subjects,itr,fbcca,19,20,115.44891492560767,4.797275372117267,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,20,21,88.06274338306251,11.616494963283378,bits_per_min,0.31905952813658883,
9ch_subjects,itr,fbcca,21,22,118.67415377040804,3.530235903436259,bits_per_min,,
9ch_subjects,itr,fbcca,22,23,113.89901197452127,8.693188227238103,bits_per_min,0.17696191439534711,
9ch_subjects,itr,fbcca,23,24,114.77041213543832,7.600764083790344,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,24,25,118.67415377040804,3.530235903436259,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,25,26,114.116638816344,0.0,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,26,27,119.81353250892404,2.7908965331402045,bits_per_min,,
9ch_subjects,itr,fbcca,27,28,115.44891492560767,4.797275372117267,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,28,29,77.36280017622128,8.995749449641702,bits_per_min,0.10213888398636535,
9ch_subjects,itr,fbcca,29,30,105.07344129379636,14.695562004785481,bits_per_min,0.18180458587563406,
9ch_subjects,itr,fbcca,30,31,120.95291124744006,0.0,bits_per_min,,
9ch_subjects,itr,fbcca,31,32,119.81353250892404,2.7908965331402045,bits_per_min,1.0,
9ch_subjects,itr,fbcca,32,33,45.7855267151088,10.928479723667564,bits_per_min,0.37089829288565307,
9ch_subjects,itr,fbcca,33,34,118.67415377040804,3.530235903436259,bits_per_min,0.36321746764912244,
9ch_subjects,itr,fbcca,34,35,109.45734153867414,12.178201815664066,bits_per_min,0.5782433679850756,
9ch_subjects,itr,phase,0,1,110.59869192286959,6.135098850938404,bits_per_min,0.10533008441752857,
9ch_subjects,itr,phase,1,2,108.2482348155143,10.437421849495182,bits_per_min,0.10272756060397481,
